iso3,pays,score_LAN,score_GEO,score_RES,score_VUL,score_HIST,score_MON,score_REP,score_NOR,score_SP,score_POIDS,score_MOB,score_ECO,total,pib_mds_usd,annee_pib,part_pib_mondial_pct,idh,annee_idh,rente_ressources_mds_usd,ndgain_vulnerabilite,henley_destinations,softpower_rang,co2_cumule_t_par_hab
BGD,Bangladesh,0,2,0,0,0,1,1,1,0,1,0,0,6,450.1,2024,0.4,0.685,2023,2.7,0.568,36,101,12
CIV,Côte d'Ivoire,2,2,1,1,0,0,0,0,0,0,0,0,6,87.1,2024,0.08,0.582,2023,4.1,0.489,55,104,13
AGO,Angola,2,2,2,0,0,0,0,0,0,0,0,0,6,103.1,2024,0.09,0.616,2023,30.9,0.506,48,116,20
MOZ,Mozambique,2,2,1,1,0,0,0,0,0,0,0,0,6,22.8,2024,0.02,0.493,2023,3.4,0.493,59,140,6
ARM,Arménie,0,0,0,2,0,1,0,1,0,0,1,1,6,26.0,2024,0.02,0.811,2023,1.8,0.357,64,90,134
KIR,Kiribati,2,2,0,0,0,0,0,0,0,0,2,0,6,0.3,2024,0.0,0.644,2023,0.0,0.557,122,193,17
MDV,Maldives,0,2,0,0,1,0,0,0,1,0,1,1,6,7.1,2024,0.01,0.766,2023,0.0,0.55,92,59,64
FSM,Micronésie,2,2,0,0,0,0,0,0,0,0,2,0,6,0.5,2024,0.0,0.615,2023,0.0,0.621,120,188,43
WSM,Samoa,2,2,0,0,0,0,0,0,0,0,2,0,6,1.2,2024,0.0,0.708,2023,0.0,0.513,129,174,36
SLB,Îles Salomon,2,2,0,0,0,0,0,0,0,0,2,0,6,1.6,2024,0.0,0.584,2023,0.3,0.629,132,166,14
SYR,Syrie,2,2,0,1,0,0,0,0,0,0,0,1,6,23.7,2022,0.02,0.564,2023,1.5,0.486,26,125,83
TKM,Turkménistan,0,1,1,2,0,0,0,0,0,0,0,2,6,44.2,2024,0.04,0.764,2023,6.0,0.372,45,138,366
TUV,Tuvalu,2,2,0,0,0,0,0,0,0,0,2,0,6,0.1,2023,0.0,0.689,2023,0.0,0.576,125,190,31
LKA,Sri Lanka,0,3,0,1,0,0,0,1,0,0,0,0,5,99.6,2024,0.09,0.776,2023,0.1,0.475,39,100,26
SDN,Soudan,2,2,1,0,0,0,0,0,0,0,0,0,5,49.7,2024,0.04,0.511,2023,6.3,0.612,41,137,10
UGA,Ouganda,2,0,1,0,0,1,0,0,0,0,1,0,5,53.9,2024,0.05,0.582,2023,4.0,0.536,65,118,3
SEN,Sénégal,2,2,0,0,0,0,0,1,0,0,0,0,5,32.2,2024,0.03,0.53,2023,1.4,0.535,56,106,16
CMR,Cameroun,2,2,0,1,0,0,0,0,0,0,0,0,5,53.3,2024,0.05,0.588,2023,2.9,0.486,47,108,11
COD,RD Congo,2,1,2,0,0,0,0,0,0,0,0,0,5,75.7,2024,0.07,0.522,2023,29.4,0.561,43,113,2
ZMB,Zambie,2,0,1,1,0,0,0,0,0,0,1,0,5,25.3,2024,0.02,0.595,2023,8.9,0.485,64,114,14
RWA,Rwanda,2,0,0,0,0,1,0,1,0,0,1,0,5,15.1,2024,0.01,0.578,2023,0.6,0.567,66,122,3
BEN,Bénin,2,2,0,0,0,0,0,0,0,0,1,0,5,21.5,2024,0.02,0.515,2023,0.5,0.571,65,162,9
COG,Congo-Brazzaville,2,2,1,0,0,0,0,0,0,0,0,0,5,15.7,2024,0.01,0.649,2023,5.9,0.522,46,139,30
DJI,Djibouti,2,3,0,0,0,0,0,0,0,0,0,0,5,4.2,2024,0.0,0.513,2023,0.0,0.502,45,180,18
GMB,Gambie,2,2,0,0,0,0,0,0,0,0,1,0,5,2.4,2024,0.0,0.524,2023,0.1,0.524,68,152,6
LBR,Liberia,2,2,0,0,1,0,0,0,0,0,0,0,5,4.8,2024,0.0,0.51,2023,1.0,0.538,49,134,9
SLE,Sierra Leone,2,2,0,0,0,0,0,0,0,0,1,0,5,7.0,2024,0.01,0.467,2023,0.6,0.597,62,172,5
TLS,Timor-Leste,2,2,0,0,0,0,0,0,0,0,1,0,5,1.9,2024,0.0,0.634,2023,0.6,0.538,92,183,9
VUT,Vanuatu,2,2,0,0,0,0,0,0,0,0,1,0,5,1.3,2024,0.0,0.621,2023,0.0,0.563,87,191,17
NPL,Népal,0,0,0,1,1,1,0,1,0,0,0,0,4,43.3,2024,0.04,0.622,2023,0.2,0.49,35,99,8
KHM,Cambodge,0,2,0,1,0,0,0,1,0,0,0,0,4,46.4,2024,0.04,0.606,2023,0.4,0.481,47,115,14
ZWE,Zimbabwe,2,0,0,1,0,0,0,0,0,0,1,0,4,41.5,2024,0.04,0.598,2023,2.7,0.498,61,117,50
HTI,Haïti,2,2,0,0,0,0,0,0,0,0,0,0,4,24.3,2024,0.02,0.554,2023,0.1,0.509,49,170,8
COM,Comores,2,2,0,0,0,0,0,0,0,0,0,0,4,1.6,2024,0.0,0.603,2023,0.0,0.541,50,173,9
SWZ,Eswatini,2,0,0,1,0,0,0,0,0,0,1,0,4,4.9,2024,0.0,0.695,2023,0.1,0.448,71,159,36
GIN,Guinée,2,2,0,0,0,0,0,0,0,0,0,0,4,25.0,2024,0.02,0.5,2023,1.1,0.529,52,144,7
GNB,Guinée-Bissau,2,2,0,0,0,0,0,0,0,0,0,0,4,2.2,2024,0.0,0.514,2023,0.2,0.613,50,167,4
LSO,Lesotho,2,0,0,1,0,0,0,0,0,0,1,0,4,2.4,2024,0.0,0.55,2023,0.1,0.472,73,185,31
MDG,Madagascar,2,2,0,0,0,0,0,0,0,0,0,0,4,17.6,2024,0.02,0.487,2023,1.0,0.558,55,107,4
MRT,Mauritanie,2,2,0,0,0,0,0,0,0,0,0,0,4,10.9,2024,0.01,0.563,2023,1.2,0.578,55,158,19
STP,Sao Tomé-et-Principe,2,2,0,0,0,0,0,0,0,0,0,0,4,0.8,2024,0.0,0.637,2023,0.0,0.542,58,175,17
SOM,Somalie,2,2,0,0,0,0,0,0,0,0,0,0,4,12.0,2024,0.01,0.404,2023,1.3,0.611,32,177,2
TGO,Togo,2,2,0,0,0,0,0,0,0,0,0,0,4,10.6,2024,0.01,0.571,2023,0.8,0.503,57,164,9
YEM,Yémen,2,2,0,0,0,0,0,0,0,0,0,0,4,21.6,2018,0.02,0.47,2023,1.1,0.534,31,121,17
MMR,Myanmar,0,2,1,0,0,0,0,0,0,0,0,0,3,74.1,2024,0.07,0.609,2023,6.4,0.514,42,154,13
ETH,Éthiopie,0,0,1,0,1,0,1,0,0,0,0,0,3,149.7,2024,0.13,0.497,2023,8.8,0.522,42,110,3
MLI,Mali,2,0,1,0,0,0,0,0,0,0,0,0,3,26.8,2024,0.02,0.419,2023,4.9,0.576,53,123,4
TCD,Tchad,2,0,1,0,0,0,0,0,0,0,0,0,3,19.9,2024,0.02,0.416,2023,4.2,0.64,51,165,3
BFA,Burkina Faso,2,0,1,0,0,0,0,0,0,0,0,0,3,23.1,2024,0.02,0.459,2023,4.7,0.521,56,143,4
MWI,Malawi,2,0,0,0,0,0,0,0,0,0,1,0,3,11.3,2024,0.01,0.517,2023,0.5,0.549,70,155,3
NER,Niger,2,0,0,0,0,0,0,0,0,0,0,0,2,19.7,2024,0.02,0.419,2023,1.3,0.633,54,141,2
BDI,Burundi,2,0,0,0,0,0,0,0,0,0,0,0,2,3.0,2024,0.0,0.439,2023,0.4,0.553,48,163,1
CAF,Centrafrique,2,0,0,0,0,0,0,0,0,0,0,0,2,2.8,2024,0.0,0.414,2023,0.3,0.579,48,112,2
SSD,Soudan du Sud,2,0,0,0,0,0,0,0,0,0,0,0,2,12.0,2015,0.01,0.388,2023,1.6,,41,146,4
TJK,Tadjikistan,0,0,0,2,0,0,0,0,0,0,0,0,2,14.4,2024,0.01,0.691,2023,1.3,0.356,53,129,49
LAO,Laos,0,0,0,1,0,0,0,0,0,0,0,0,1,16.5,2024,0.01,0.617,2023,0.9,0.486,45,148,31
BTN,Bhoutan,0,0,0,0,1,0,0,0,0,0,0,0,1,3.3,2024,0.0,0.698,2023,0.1,0.515,47,119,38
AFG,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,2024,0.02,0.496,2023,0.1,0.588,23,151,6
